No.,PRIMARIA,LATITUD,LONGITUD
1,Adolfo Ruíz Cortinez,22.2289993,-102.3196779
2,Gustavo Díaz Ordaz,22.2327966,-102.3179396
3,Diego Romo de Vivar,22.2299914,-102.3259392
4,Beatriz Gutierrez Romo,22.2233429,-102.3269354
5,Otto Granados Roldan,22.2251786,-102.3287627
6,Rodrigo Rincón Gallardo,22.2292165,-102.3122946
7,Conchos,22.2341797,-102.3286932
8,Miguel Hidalgo,22.236133,-102.3574463
9,Liceo San Carlos,22.2288881,-102.3248429
10,Colegio Helios,22.2300997,-102.3229588
11,Francisco I. Madero,22.2465572,-102.306514
12,Justo Sierra,22.1953691,-102.2570602
13,Josefa Ortiz de Dominguez,22.2324074,-102.4159186
14,Instituto Alameda,22.2283072,-102.3277949
15,Lazaro Cardenas,22.2876683,-102.2386737
